Name;Value;Language
"abt__ut2.banner.params.content_bg_align.variants.left_to_right";"Left to right";"ar"
"abt__ut2.banner.params.content_bg_align.variants.right_to_left";"Right to left";"ar"
"abt__ut2.banner.params.content_bg_align.variants.top_to_bottom";"Top to bottom";"ar"
"abt__ut2.banner.params.content_bg_color";"Color of a mask";"ar"
"abt__ut2.banner.params.content_bg_color.tooltip";"A colored background will appear under the description. It will provide better readability of the text against a motley background. When used, turns off the use of a semitransparent mask";"ar"
"abt__ut2.banner.params.content_bg_opacity";"Transparency level of a mask";"ar"
"abt__ut2.banner.params.content_bg_position";"Mask position";"ar"
"abt__ut2.banner.params.content_bg_position.tooltip";"Defines the coverage area of the mask, entire banner, or just the content area (title, description, button)";"ar"
"abt__ut2.banner.params.content_bg_position.variants.full_height";"Under content only (full height)";"ar"
"abt__ut2.banner.params.content_bg_position.variants.only_under_content";"Under content only";"ar"
"abt__ut2.banner.params.content_bg_position.variants.whole_banner";"Entire banner";"ar"
"abt__ut2.banner.params.content_full_width";"Content on full width";"ar"
"abt__ut2.banner.params.content_full_width.tooltip";"The width of the content block has a default width of 50%. Set this parameter and the width of the block content will be 100%";"ar"
"abt__ut2.banner.params.content_valign";"Vertical alignment";"ar"
"abt__ut2.banner.params.content_valign.tooltip";"Location of the content inside the banner by the vertical";"ar"
"abt__ut2.banner.params.content_valign.variants.bottom";"At the bottom";"ar"
"abt__ut2.banner.params.content_valign.variants.center";"On the center";"ar"
"abt__ut2.banner.params.content_valign.variants.top";"On the top";"ar"
"abt__ut2.banner.params.data_type";"Content type";"ar"
"abt__ut2.banner.params.data_type.variants.url";"Link";"ar"
"abt__ut2.banner.params.description";"Short description";"ar"
"abt__ut2.banner.params.description_bg_color";"Background color";"ar"
"abt__ut2.banner.params.description_bg_color.tooltip";"Please select the checkbox to use a new color";"ar"
"abt__ut2.banner.params.description_color";"Description color";"ar"
"abt__ut2.banner.params.description_color.tooltip";"Please select the checkbox to use a new color";"ar"
"abt__ut2.banner.params.description_font_size";"Font size";"ar"
"abt__ut2.banner.params.how_to_open";"How to open";"ar"
"abt__ut2.banner.params.how_to_open.variants.in_new_window";"In a new window";"ar"
"abt__ut2.banner.params.how_to_open.variants.in_popup";"In a popup";"ar"
"abt__ut2.banner.params.how_to_open.variants.in_this_window";"In this window";"ar"
"abt__ut2.banner.params.image_position";"Vertical position of the images";"ar"
"abt__ut2.banner.params.image_position.tooltip";"Setting influences on the main and background images simultaneously";"ar"
"abt__ut2.banner.params.image_position.variants.bottom";"Bottom";"ar"
"abt__ut2.banner.params.image_position.variants.center";"Center";"ar"
"abt__ut2.banner.params.image_position.variants.top";"Top";"ar"
"abt__ut2.banner.params.main_image";"Main image";"ar"
"abt__ut2.banner.params.mobile_use";"Use own settings for Phones";"ar"
"abt__ut2.banner.params.mobile_use.tooltip";"Use this option to allow own banner settings for the mobile device Phone. The tab with appropriate settings will appear only after saving the banner with the set checkbox";"ar"
"abt__ut2.banner.params.object";"The displayed object";"ar"
"abt__ut2.banner.params.object.variants.image";"Image";"ar"
"abt__ut2.banner.params.object.variants.products";"Products";"ar"
"abt__ut2.banner.params.object.variants.video";"YouTube video";"ar"
"abt__ut2.banner.params.padding";"Internal padding";"ar"
"abt__ut2.banner.params.padding.label";"Specify the padding values ​​for each side in (<b>px</b> - pixels) or (<b>%</b> - percent).";"ar"
"abt__ut2.banner.params.padding.label.bottom";"Bottom";"ar"
"abt__ut2.banner.params.padding.label.left";"Left";"ar"
"abt__ut2.banner.params.padding.label.right";"Right";"ar"
"abt__ut2.banner.params.padding.label.top";"Top";"ar"
"abt__ut2.banner.params.padding.tooltip";"Paddings inside the banner for the content area with elements (Heading, Short Description, Button).";"ar"
"abt__ut2.banner.params.products_grid_columns";"Columns";"ar"
"abt__ut2.banner.params.products_grid_columns.tooltip";"Select the number of columns, visible products in a row. The displayed number of products may differ from the specified one. It depends on the content area in the banner, as well as its adaptive state.";"ar"
"abt__ut2.banner.params.products_links_thumb_columns";"Columns";"ar"
"abt__ut2.banner.params.products_links_thumb_columns.tooltip";"Select the number of columns, visible products in a row. The displayed number of products may differ from the specified one. It depends on the content area in the banner, as well as its adaptive state.";"ar"
"abt__ut2.banner.params.products_links_thumb_rows";"Rows";"ar"
"abt__ut2.banner.params.products_links_thumb_rows.all";"Unlimited";"ar"
