Name;Value;Language
"abt__ut2.settings.load_more.mode.variants.on_button_click";"By button click";"ar"
"abt__ut2.settings.load_more.product_list";"Allow for product lists";"ar"
"abt__ut2.settings.load_more.product_list.tooltip";"Allow display of ""Show more"" button for categories, brands, newest pages etc.";"ar"
"abt__ut2.settings.load_more_description";"Below are the settings for the ""Show more"" functional for various objects in lists (lazy pagination)";"ar"
"abt__ut2.settings.name";"Name";"ar"
"abt__ut2.settings.position";"Position";"ar"
"abt__ut2.settings.products";"Product";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template.multiple_product_images";"Number of displayed images of the product gallery";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template.multiple_product_images.tooltip";"Values 2-3 are recommended for the ""AB: Gallery"" product page template. It can be used in other product page templates but with sufficient width of your layout (>1400px).";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template.multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template.multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template.multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template_group";"Settings for the product card template ""AB: Big picture, flat""";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_flat_template_group_description";"Settings for the product card template ""AB: Big picture, flat"". Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template.multiple_product_images";"Number of displayed images of the product gallery";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template.multiple_product_images.tooltip";"Values 2-3 are recommended for the ""AB: Gallery"" product page template. It can be used in other product page templates but with sufficient width of your layout (>1400px).";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template.multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template.multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template.multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template_group";"Settings for the product card template ""AB: Gallery""";"ar"
"abt__ut2.settings.products.abt__ut2_bigpicture_gallery_template_group_description";"Settings for the product card template ""AB: Gallery"". Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template.formation_multiple_product_images";"Combinations of product gallery image formations";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template.formation_multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template.formation_multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template.formation_multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template_group";"Setting for the product card template ""AB: Cascade gallery""";"ar"
"abt__ut2.settings.products.abt__ut2_cascade_gallery_template_group_description";"Settings for the product card template ""AB: Cascade gallery"".";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template.multiple_product_images";"Number of displayed images of the product gallery";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template.multiple_product_images.tooltip";"Values 2-3 are recommended for the ""AB: Gallery"" product page template. It can be used in other product page templates but with sufficient width of your layout (>1400px).";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template.multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template.multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template.multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template_group";"Settings for the product card template ""AB: Three-columned""";"ar"
"abt__ut2.settings.products.abt__ut2_three_columns_template_group_description";"Settings for the product card template ""AB: Gallery"". Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.products.addon_buy_together.view";"Way of display";"ar"
"abt__ut2.settings.products.addon_buy_together.view.tooltip";"Choose way of display (added by AB: UniTheme2 theme or standard output by the tab)";"ar"
"abt__ut2.settings.products.addon_buy_together.view.variants.as_block_above_tabs";"As block before product tabs";"ar"
"abt__ut2.settings.products.addon_buy_together.view.variants.as_tab_in_tabs";"As product tab";"ar"
"abt__ut2.settings.products.addon_buy_together_group";"""Buy together"" addon";"ar"
"abt__ut2.settings.products.addon_buy_together_group_description";"Native CS-Cart add-on, which allows to display profitable offers in combination with the current product, on the page of which the user is located";"ar"
"abt__ut2.settings.products.addon_required_products.item_quantity";"Show products in row";"ar"
"abt__ut2.settings.products.addon_required_products.item_quantity.tooltip";"Specify the quantity products to display in a row (only for ""Grid"")";"ar"
"abt__ut2.settings.products.addon_required_products.list_type";"Template";"ar"
"abt__ut2.settings.products.addon_required_products.list_type.tooltip";"Choose template for displaying product list";"ar"
"abt__ut2.settings.products.addon_required_products.list_type.variants.compact_list";"Compact list";"ar"
"abt__ut2.settings.products.addon_required_products.list_type.variants.grid_list";"Grid";"ar"
"abt__ut2.settings.products.addon_required_products.list_type.variants.product_list";"List without options";"ar"
"abt__ut2.settings.products.addon_required_products_group";"""Required products"" addon";"ar"
"abt__ut2.settings.products.addon_required_products_group_description";"Native CS-Cart addon ""Required products"" creates a group of products, that will be added to the cart with the product, on which page the user is located";"ar"
"abt__ut2.settings.products.addon_social_buttons.view";"Show Share buttons for social networks";"ar"
"abt__ut2.settings.products.addon_social_buttons.view.tooltip";"Please note, that using this option slows down the loading of the product page. Not recommended for displaying on mobile devices.";"ar"
"abt__ut2.settings.products.addon_social_buttons_group";"Addon ""Social buttons""";"ar"
"abt__ut2.settings.products.addon_social_buttons_group_description";"Native CS-Cart addon ""Social Buttons"" displays Share buttons widgets for social networks";"ar"
"abt__ut2.settings.products.bigpicture_template.multiple_product_images";"Number of displayed images of the product gallery";"ar"
"abt__ut2.settings.products.bigpicture_template.multiple_product_images.tooltip";"Values 2-3 are recommended for the ""AB: Gallery"" product page template. It can be used in other product page templates but with sufficient width of your layout (>1400px).";"ar"
"abt__ut2.settings.products.bigpicture_template.multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.bigpicture_template.multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.bigpicture_template.multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.bigpicture_template_group";"Settings for the product card template ""The big picture""";"ar"
"abt__ut2.settings.products.bigpicture_template_group_description";"Settings for the product card template ""The big picture"". Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.products.custom_block_id";"Custom block ID";"ar"
"abt__ut2.settings.products.custom_block_id.tooltip";"Specify the custom block ID, which you want to display of the product detail page (the block must be added to the <b>Products</b> layout and can be turned off, a special function will add it to the intended place to bypass the CS-Cart layout system) (well described in the theme <a target=""_blank"" href=""https://docs.cs-cart.abt.team/en/abt__unitheme2.doc/v4.18.1.b#p-5438"">documentation</a>)";"ar"
"abt__ut2.settings.products.default_template.multiple_product_images";"Number of displayed images of the product gallery";"ar"
"abt__ut2.settings.products.default_template.multiple_product_images.tooltip";"Values 2-3 are recommended for the ""AB: Gallery"" product page template. It can be used in other product page templates but with sufficient width of your layout (>1400px).";"ar"
"abt__ut2.settings.products.default_template.multiple_product_images.variants.1";"1";"ar"
"abt__ut2.settings.products.default_template.multiple_product_images.variants.2";"2";"ar"
"abt__ut2.settings.products.default_template.multiple_product_images.variants.3";"3";"ar"
"abt__ut2.settings.products.default_template_group";"Settings for the product card template ""Default template""";"ar"
"abt__ut2.settings.products.default_template_group_description";"Settings for the product card template ""Default template"". Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.products.preload_main_image";"Preload main product image";"ar"
"abt__ut2.settings.products.preload_main_image.tooltip";"Disables Lazy Load for the main image. Also adds <code>&#60;link rel=""preload""></code> for this image. Increases preformance of PageSpeed Insights.";"ar"
"abt__ut2.settings.products.search_similar_in_category";"Enable search of similar products in the category";"ar"
"abt__ut2.settings.products.search_similar_in_category.tooltip";"In the feature tab, checkbox will be added for each feature variant with created filter. Button, that opens window with a basic product category and filter corresponding to selected checkboxes, will be added as well.";"ar"
"abt__ut2.settings.products.vendor.show_ask_question_link";"Show ""Ask a question"" link";"ar"
"abt__ut2.settings.products.vendor.show_ask_question_link.tooltip";"Allows customers to communicate with the vendor using chat. Depends on ""Ask seller a question"" addon";"ar"
"abt__ut2.settings.products.vendor.show_logo";"Show vendor logo";"ar"
"abt__ut2.settings.products.vendor.show_logo.tooltip";"Displays the vendor's logo";"ar"
"abt__ut2.settings.products.vendor.show_name_as_link";"Use vendor name as a link on a vendor page";"ar"
"abt__ut2.settings.products.vendor.show_name_as_link.tooltip";"Allows use vendor name as a link to the page of this vendor";"ar"
"abt__ut2.settings.products.vendor.show_phone";"Show vendor phone number";"ar"
"abt__ut2.settings.products.vendor.show_phone.tooltip";"Allows you to display the phone number of the vendor";"ar"
"abt__ut2.settings.products.vendor.truncate_short_description";"Number of characters for vendor description";"ar"
"abt__ut2.settings.products.vendor.truncate_short_description.tooltip";"Allows you to limit the output of a vendor description, specify the number of displayed characters. To disable output, use the value ""0""";"ar"
"abt__ut2.settings.products.vendor_group";"Block with vendor information";"ar"
"abt__ut2.settings.products.vendor_group_description";"Settings for block with vendor information on the product page";"ar"
"abt__ut2.settings.products.view.ab__s_pictogram_position";"AB: Stickers: Display pictograms";"ar"
"abt__ut2.settings.products.view.ab__s_pictogram_position.variants.n";"Do not display";"ar"
"abt__ut2.settings.products.view.ab__s_pictogram_position.variants.position_1";"Position 1";"ar"
"abt__ut2.settings.products.view.ab__s_pictogram_position.variants.position_2";"Position 2";"ar"
"abt__ut2.settings.products.view.brand_link_behavior";"Brand logo link behavior";"ar"
"abt__ut2.settings.products.view.brand_link_behavior.tooltip";"Determines the brand logo link";"ar"
"abt__ut2.settings.products.view.brand_link_behavior.variants.to_brand_page";"The link leads to brand page";"ar"
"abt__ut2.settings.products.view.brand_link_behavior.variants.to_category_with_filter";"The link leads to the main product category with the selected filter by product brand";"ar"
"abt__ut2.settings.products.view.image_height";"Product Image Height";"ar"
"abt__ut2.settings.products.view.image_width";"Product Image Width";"ar"
"abt__ut2.settings.products.view.show_brand_format";"Show product brand information";"ar"
"abt__ut2.settings.products.view.show_brand_format.tooltip";"Allow to display name or logo of the product brand. For proper work of the setting, you must correctly specify ""Brand feature ID"" setting value in the ""General"" tab";"ar"
"abt__ut2.settings.products.view.show_brand_format.variants.logo";"Show logo of the product brand";"ar"
"abt__ut2.settings.products.view.show_brand_format.variants.name";"Show name of the product brand";"ar"
"abt__ut2.settings.products.view.show_brand_format.variants.none";"Don't show";"ar"
"abt__ut2.settings.products.view.show_features";"Show product features";"ar"
"abt__ut2.settings.products.view.show_features.tooltip";"Allow displaying of selected product features (for displaying on the product page (but not in Features tab), the feature must have an active setting ""Show in header on the product details page"")";"ar"
"abt__ut2.settings.products.view.show_features_in_two_col";"Show features in two columns";"ar"
"abt__ut2.settings.products.view.show_features_in_two_col.tooltip";"Changes view of feature list (in two columns)";"ar"
"abt__ut2.settings.products.view.show_qty";"Show quantity changer";"ar"
"abt__ut2.settings.products.view.show_qty.tooltip";"Allow the display of the quantity selection field";"ar"
"abt__ut2.settings.products.view.show_short_description";"Show short description";"ar"
"abt__ut2.settings.products.view.show_short_description.tooltip";"Allow the display of the ""Short description""";"ar"
"abt__ut2.settings.products.view.show_sku";"Show product code (Sku)";"ar"
"abt__ut2.settings.products.view.show_sku.tooltip";"Allow product code (Sku) showing";"ar"
"abt__ut2.settings.products.view.show_sticky_add_to_cart";"Show sticky block Add to cart (only for mobile devices)";"ar"
"abt__ut2.settings.products.view.show_sticky_add_to_cart.tooltip";"Allow output of a fixed block with the Add to cart button at the bottom of the mobile device screen. Also depending on the state of the option ""Show quantity changer"" in the block, the changer of products quantity for the order can be shown";"ar"
"abt__ut2.settings.products.view.show_you_save";"Show ""You save""";"ar"
"abt__ut2.settings.products.view.show_you_save.tooltip";"Shows information about savings (amount of your savings)";"ar"
"abt__ut2.settings.products.view.show_you_save.variants.full";"Full";"ar"
"abt__ut2.settings.products.view.show_you_save.variants.none";"Do not display";"ar"
"abt__ut2.settings.products.view.show_you_save.variants.short";"Short";"ar"
"abt__ut2.settings.products.view.thumbnails_gallery_format";"Appearance of image gallery";"ar"
"abt__ut2.settings.products.view.thumbnails_gallery_format.tooltip";"Gallery is displayed in a list view or as image scroller by default.";"ar"
"abt__ut2.settings.products.view.thumbnails_gallery_format.variants.counter_only";"Counter only";"ar"
"abt__ut2.settings.products.view.thumbnails_gallery_format.variants.default";"Default";"ar"
"abt__ut2.settings.products.view.thumbnails_gallery_format.variants.lines_only";"Dots only";"ar"
"abt__ut2.settings.products.view_group";"Additional display settings";"ar"
"abt__ut2.settings.products.view_group_description";"Additional appearance settings for the product page";"ar"
"abt__ut2.settings.products_description";"Here theme settings which affect the product detailed page appearance";"ar"
"abt__ut2.settings.product_list";"Product lists";"ar"
"abt__ut2.settings.product_list.button_compare_view";"Display ""Add to comparison list"" button";"ar"
"abt__ut2.settings.product_list.button_wish_list_view";"Display ""Add to wish list"" button";"ar"
"abt__ut2.settings.product_list.decolorate_out_of_stock_products";"Decolorize out of stock products";"ar"
"abt__ut2.settings.product_list.decolorate_out_of_stock_products.tooltip";"Applies the effect of decolorize for product items, that are out of stock. Only for lists in categories is used";"ar"
"abt__ut2.settings.product_list.default_products_view";"Product list default view";"ar"
"abt__ut2.settings.product_list.default_products_view.tooltip";"Specify template of product list by default for specific mobile devices";"ar"
"abt__ut2.settings.product_list.default_products_view.variants.products_multicolumns";"Grid";"ar"
"abt__ut2.settings.product_list.default_products_view.variants.products_without_options";"List without options";"ar"
"abt__ut2.settings.product_list.default_products_view.variants.short_list";"Compact list";"ar"
"abt__ut2.settings.product_list.hover_buttons_w_c_q";"Display buttons ""Quick view, Add to wish list, Add to comparison list"" when hovering over a product cell";"ar"
"abt__ut2.settings.product_list.max_features";"Max number of displayed features in lists";"ar"
"abt__ut2.settings.product_list.max_features.tooltip";"Specify the number of features displayed in all available lists for different devices";"ar"
"abt__ut2.settings.product_list.price_display_format";"Price display format";"ar"
"abt__ut2.settings.product_list.price_display_format.tooltip";"Formats options (of the elements positions) of price display";"ar"
"abt__ut2.settings.product_list.price_display_format.variants.col";"Option 1";"ar"
"abt__ut2.settings.product_list.price_display_format.variants.mix";"Option 3";"ar"
"abt__ut2.settings.product_list.price_display_format.variants.row";"Option 2";"ar"
"abt__ut2.settings.product_list.price_display_format.variants.row-mix";"Option 4";"ar"
"abt__ut2.settings.product_list.price_position_top";"Show price at the top";"ar"
"abt__ut2.settings.product_list.price_position_top.tooltip";"Allows to display price at the top of the content, just after the product image";"ar"
"abt__ut2.settings.product_list.products_multicolumns.ab__s_pictogram_position";"AB: Stickers: Display pictograms";"ar"
"abt__ut2.settings.product_list.products_multicolumns.ab__s_pictogram_position.variants.n";"Do not display";"ar"
"abt__ut2.settings.product_list.products_multicolumns.ab__s_pictogram_position.variants.position_1";"Position 1";"ar"
"abt__ut2.settings.product_list.products_multicolumns.ab__s_pictogram_position.variants.position_2";"Position 2";"ar"
"abt__ut2.settings.product_list.products_multicolumns.enable_hover_gallery";"Switch product image when hovering mouse pointer";"ar"
"abt__ut2.settings.product_list.products_multicolumns.enable_hover_gallery.tooltip";"If you hover mouse pointer over the product with 2 or more images, then images will be shifting. When activating this setting, value of the setting ""Show standard image gallery"" will be ignored for specific device types";"ar"
"abt__ut2.settings.product_list.products_multicolumns.enable_hover_gallery.variants.lines";"With stripes";"ar"
"abt__ut2.settings.product_list.products_multicolumns.enable_hover_gallery.variants.n";"Do not switch";"ar"
"abt__ut2.settings.product_list.products_multicolumns.enable_hover_gallery.variants.points";"With dots";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content";"Additional product information";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.tooltip";"Select the fields that will be used as additional information about the product item";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.description";"Short description";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.features";"Features list";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.features_and_description";"Short description and variations";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.features_and_variations";"Features and variations list";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.none";"Don't display";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_bottom_content.variants.variations";"Variations list";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_height";"Minimum height for product cell, px";"ar"
"abt__ut2.settings.product_list.products_multicolumns.grid_item_height.tooltip";"Defines the product cell height according to your needs";"ar"
"abt__ut2.settings.product_list.products_multicolumns.image_height";"Product icon height";"ar"
"abt__ut2.settings.product_list.products_multicolumns.image_height.tooltip";"Icon height in product lists with the ""Grid"" template, individually for each device type";"ar"
"abt__ut2.settings.product_list.products_multicolumns.image_width";"Product icon width";"ar"
"abt__ut2.settings.product_list.products_multicolumns.image_width.tooltip";"Icon width in product lists with the ""Grid"" template, individually for each device type";"ar"
"abt__ut2.settings.product_list.products_multicolumns.lines_number_in_name_product";"Number of lines in the product name";"ar"
"abt__ut2.settings.product_list.products_multicolumns.lines_number_in_name_product.variants.1";"1";"ar"
"abt__ut2.settings.product_list.products_multicolumns.lines_number_in_name_product.variants.2";"2";"ar"
"abt__ut2.settings.product_list.products_multicolumns.lines_number_in_name_product.variants.3";"3";"ar"
"abt__ut2.settings.product_list.products_multicolumns.lines_number_in_name_product.variants.4";"4";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_amount";"Show availability status";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_amount.tooltip";"Allow to display the availability status of a product (In stock, Out of stock, Pre-order)";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_brand_logo";"Show brand logo";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_brand_logo.tooltip";"Allow to display brand logo. There following steps are required:<br>* assign option ""Brand feature ID"" in the ""General"" section of theme settings;<br>* at feature set the checkbox ""Show in product list"";<br>* load an image for feature variant Brand.";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_buttons_on_hover";"Show buttons on hover";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_buttons_on_hover.tooltip";"Buttons ""Add to cart"" and ""Buy now with 1-click"" will be shown only while hovering on the product cell";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart";"Show ""Add to Cart"" button";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.tooltip";"Allow to display ""Add to Cart"" button";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.variants.icon";"Icon of the Cart only (simplified version)";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.variants.icon_and_text";"Icon of the Cart and text";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.variants.icon_button";"Icon of the Cart only";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.variants.none";"Don't display";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_button_add_to_cart.variants.text";"Text only";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_content_on_hover";"Show additional information on hover";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_gallery";"Show standard image gallery";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_gallery.variants.arrows";"Arrows navigation";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_gallery.variants.n";"Do not display";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_gallery.variants.points";"Dots navigation";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_qty";"Show quantity changer";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_qty.tooltip";"Allow the display of the quantity selection field";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_sku";"Show product code (Sku)";"ar"
"abt__ut2.settings.product_list.products_multicolumns.show_sku.tooltip";"Allow product code (Sku) showing";"ar"
"abt__ut2.settings.product_list.products_multicolumns_group";"Settings for ""Grid"" product list view";"ar"
"abt__ut2.settings.product_list.products_multicolumns_group_description";"Settings for ""Grid"" product list view. Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.product_list.products_scroller.lines_number_in_name_product";"Number of lines in the product name";"ar"
"abt__ut2.settings.product_list.products_scroller.lines_number_in_name_product.variants.1";"1";"ar"
"abt__ut2.settings.product_list.products_scroller.lines_number_in_name_product.variants.2";"2";"ar"
"abt__ut2.settings.product_list.products_scroller.lines_number_in_name_product.variants.3";"3";"ar"
"abt__ut2.settings.product_list.products_scroller.show_amount";"Show availability status";"ar"
"abt__ut2.settings.product_list.products_scroller.show_amount.tooltip";"Allow to display the availability status of a product (In stock, Out of stock, Pre-order)";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart";"Show ""Add to Cart"" button";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart.tooltip";"Allow to display of the ""Add to Cart"" button. Please note, there is a block-dependent setting with the template ""Scroller: Block settings → Hide the button for adding the product to the cart""";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart.variants.icon";"Icon of the Cart only (simplified version)";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart.variants.icon_and_text";"Icon of the Cart and text";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart.variants.icon_button";"Icon of the Cart only";"ar"
"abt__ut2.settings.product_list.products_scroller.show_button_add_to_cart.variants.text";"Text only";"ar"
"abt__ut2.settings.product_list.products_scroller.show_qty";"Show quantity changer";"ar"
"abt__ut2.settings.product_list.products_scroller.show_qty.tooltip";"Allow the display of the quantity selection field";"ar"
"abt__ut2.settings.product_list.products_scroller.show_quick_view_button";"Show ""Quick view"" button";"ar"
"abt__ut2.settings.product_list.products_scroller.show_quick_view_button.tooltip";"To display the ""Quick View"" button, pay attention to the dependency with the CS-Cart setting ""Settings → Appearance → Enable Quick View"" and the setting of the product block with the ""Scroller"" template ""Enable Quick View"". The setting allows you to manipulate the display of this button on pages with this list of products, where display settings are missing";"ar"
"abt__ut2.settings.product_list.products_scroller_group";"Settings for the product list view with the ""Scroller"" template";"ar"
"abt__ut2.settings.product_list.products_scroller_group_description";"Settings for the product list view with the ""Scroller"" template. Please note, there are block-dependent settings. Some settings allow you to control the display of functionality elements for different devices separately";"ar"
"abt__ut2.settings.product_list.products_without_options.ab__s_pictogram_position";"AB: Stickers: Display pictograms";"ar"
"abt__ut2.settings.product_list.products_without_options.ab__s_pictogram_position.variants.n";"Do not display";"ar"
"abt__ut2.settings.product_list.products_without_options.ab__s_pictogram_position.variants.position_1";"Position 1";"ar"
"abt__ut2.settings.product_list.products_without_options.ab__s_pictogram_position.variants.position_2";"Position 2";"ar"
"abt__ut2.settings.product_list.products_without_options.enable_hover_gallery";"Switch product image when hovering mouse pointer";"ar"
"abt__ut2.settings.product_list.products_without_options.enable_hover_gallery.tooltip";"If you hover mouse pointer over the product with 2 or more images, then images will be shifting. When activating this setting, value of the setting ""Show standard image gallery"" will be ignored for specific device types";"ar"
"abt__ut2.settings.product_list.products_without_options.enable_hover_gallery.variants.lines";"With stripes";"ar"
"abt__ut2.settings.product_list.products_without_options.enable_hover_gallery.variants.n";"Do not switch";"ar"
"abt__ut2.settings.product_list.products_without_options.enable_hover_gallery.variants.points";"With dots";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content";"Content under description";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content.tooltip";"Select, what fields will be used as the additional information of the product item";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content.variants.features";"Features list";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content.variants.features_and_variations";"Features and variations list";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content.variants.none";"Don't display";"ar"
"abt__ut2.settings.product_list.products_without_options.grid_item_bottom_content.variants.variations";"Variations list";"ar"
"abt__ut2.settings.product_list.products_without_options.image_height";"Product icon height";"ar"
"abt__ut2.settings.product_list.products_without_options.image_height.tooltip";"Icon height in product lists with the ""List without options"" template, individually for each device type";"ar"
"abt__ut2.settings.product_list.products_without_options.image_width";"Product icon width";"ar"
"abt__ut2.settings.product_list.products_without_options.image_width.tooltip";"Icon width in product lists with the ""List without options"" template, individually for each device type";"ar"
"abt__ut2.settings.product_list.products_without_options.show_amount";"Show product availability status";"ar"
"abt__ut2.settings.product_list.products_without_options.show_amount.tooltip";"Allow the display of the status of stock availability (In stock, Out of stock)";"ar"
"abt__ut2.settings.product_list.products_without_options.show_brand_logo";"Show brand logo";"ar"
"abt__ut2.settings.product_list.products_without_options.show_brand_logo.tooltip";"Allow to display brand logo. There following steps are required:<br>* assign option ""Brand feature ID"" in the ""General"" section of theme settings;<br>* at feature set the checkbox ""Show in product list"";<br>* load an image for feature variant Brand.";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart";"Show ""Add to Cart"" button";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart.tooltip";"Allow to display ""Add to Cart"" button";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart.variants.icon_and_text";"Icon of the Cart and text";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart.variants.icon_button";"Icon of the Cart only";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart.variants.none";"Don't display";"ar"
"abt__ut2.settings.product_list.products_without_options.show_button_add_to_cart.variants.text";"Text only";"ar"
"abt__ut2.settings.product_list.products_without_options.show_features";"Show product features";"ar"
"abt__ut2.settings.product_list.products_without_options.show_features.tooltip";"Allow display of selected product features (for displaying in the product list the feature must have an active setting ""Show in product list"")";"ar"
"abt__ut2.settings.product_list.products_without_options.show_gallery";"Show standard image gallery";"ar"
"abt__ut2.settings.product_list.products_without_options.show_gallery.variants.arrows";"Arrows navigation";"ar"
"abt__ut2.settings.product_list.products_without_options.show_gallery.variants.n";"Do not display";"ar"
"abt__ut2.settings.product_list.products_without_options.show_gallery.variants.points";"Dots navigation";"ar"
"abt__ut2.settings.product_list.products_without_options.show_options";"Show product options";"ar"
"abt__ut2.settings.product_list.products_without_options.show_options.tooltip";"Allow display of product options";"ar"
"abt__ut2.settings.product_list.products_without_options.show_qty";"Show quantity changer";"ar"
"abt__ut2.settings.product_list.products_without_options.show_qty.tooltip";"Allow the display of the quantity selection field";"ar"
"abt__ut2.settings.product_list.products_without_options.show_sku";"Show product code (Sku)";"ar"
"abt__ut2.settings.product_list.products_without_options.show_sku.tooltip";"Allow product code (Sku) showing";"ar"
"abt__ut2.settings.product_list.products_without_options_group";"Settings for ""List without options"" product list view";"ar"
"abt__ut2.settings.product_list.products_without_options_group_description";"Settings for ""List without options"" product list view. Please note, that some settings allow you to control the output of functional elements for different devices separately";"ar"
"abt__ut2.settings.product_list.product_variations.allow_variations_selection";"Allow to select variations/options from lists";"ar"
"abt__ut2.settings.product_list.product_variations.display_as_links";"Display as links";"ar"
"abt__ut2.settings.product_list.product_variations.display_as_links.tooltip";"Display variations as links that transfer to a product page of the chosen variation";"ar"
"abt__ut2.settings.product_list.product_variations.limit";"The maximum quantity of the displayed products variations";"ar"
"abt__ut2.settings.product_list.product_variations.limit.tooltip";"Specify the number of available variations, that will be shown for the product in the list, if more variations are available, than specified in the setting, the remaining amount will be indicated in brackets (+ N more). Value <code>0</code> in setting will block the display of variations.";"ar"
