vendor,language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
Zagzoog,EN,ARSA50FHTCZ,Cool Duct 43200 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/abfdb175-f784-4091-b2c0-cc6ecc06b6f4.jpeg""></p>",,14720,9599,,,5,10,https://zagzoog.com/uploads/project_thumb/592-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/592-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/592-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/592-Zagzoog_image_25.jpg
Zagzoog,EN,ARSA50UHTCZ,Hot/Cool Duct 43200 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/bc3ce478-fa2c-43f5-bc93-58ecf501dc28.jpeg""></p>",,15065,9799,,,5,10,https://zagzoog.com/uploads/project_thumb/593-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/593-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/593-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/593-Zagzoog_image_25.jpg
Zagzoog,EN,ARSA60FHTDZ,Cool Duct 50400 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/5408daf9-70fd-4a66-924f-55b574472554.jpeg""></p>",,16445,10699,,,5,10,https://zagzoog.com/uploads/project_thumb/595-Zagzoog_image_27.jpg///https://zagzoog.com/uploads/project_thumb/595-Zagzoog_image_28.jpg///https://zagzoog.com/uploads/project_thumb/595-Zagzoog_image_29.jpg///https://zagzoog.com/uploads/project_thumb/595-Zagzoog_image_30.jpg
Zagzoog,EN,ARSG18CLTAZ,"Cool Duct Inverter,18000 Btu",Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/742f4347-09b8-47eb-abf2-1ce932bf5ef0.jpeg""></p>",,7475,4899,,,5,10,https://zagzoog.com/uploads/project_thumb/1077-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1077-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1077-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1077-Zagzoog_image_4.jpg
Zagzoog,EN,ARSH18KLTAZ,Hot/Cool Duct Inverter 18000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/b6c33671-6e95-4c8c-8e57-98068fb437d4.jpeg""></p>",,8050,5299,,,5,10,https://zagzoog.com/uploads/project_thumb/1175-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1175-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1175-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1175-Zagzoog_image_4.jpg
Zagzoog,EN,ARSG24CLTAZ,Cool Duct Inverter 22900 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/fa8590dd-90ab-4090-801b-c2b2ac36836b.jpeg""></p>",,9315,6099,,,5,10,https://zagzoog.com/uploads/project_thumb/1078-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1078-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1078-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1078-Zagzoog_image_4.jpg
Zagzoog,EN,ARSH30KLTAZ,Hot/Cool Duct Inverter 30000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/6264cc0e-7033-4764-9cee-4b6edcb1ad8d.jpeg""></p>",,11845,7699,,,5,10,https://zagzoog.com/uploads/project_thumb/1177-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1177-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1177-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1177-Zagzoog_image_4.jpg
Zagzoog,EN,ARSH36KLTAZ,Hot/Cool Duct Inverter 35000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/0d2c9a88-385c-44a0-8b64-e52d702b569e.jpeg""></p>",,14375,9399,,,5,10,https://zagzoog.com/uploads/project_thumb/1178-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1178-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1178-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1178-Zagzoog_image_4.jpg
Zagzoog,EN,ARSG60CMTAZ,Cool Duct Inverter 57000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/87dd0dad-f3cf-4346-813b-1373fe1bd093.jpeg""></p>",,17020,11098,,,5,10,https://zagzoog.com/uploads/project_thumb/1082-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1082-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1082-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1082-Zagzoog_image_4.jpg
Zagzoog,EN,ARSA60UHTDZ,Hot/Cool Duct 50400 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/e0cd54ae-4c87-4653-97fb-8861e45be6c2.jpeg""></p>",,17020,11098,,,5,10,https://zagzoog.com/uploads/project_thumb/596-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/596-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/596-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/596-Zagzoog_image_25.jpg
