Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor;Max quantity;Quantity step;List qty count;Out of stock actions;Promo text;Product URL;Image URL;Images;Detailed image URL;Items in box;Box size;Usergroup IDs;Available since;Product availability;Options type;Exceptions type;Attachments;Variation group code;Variation group id;Variation parent product id;Variation sub group id;Variation set as default;Color (Variation feature);Size (Variation feature);AB Set video as product image;AB: Attached stickers;AB: Generated stickers;Discussion;Unit name;Units in product;Show price per X units
"";"en";"301";"Retail";"0.00";"6.80";"0.000";"1";"";"0.00";"29 Jan 2025 05:53:10";"N";"";"N";"";"N";"";"";"exim/backup/images/home-design_kn29-17.jpg.webp#{[ar]:;[en]:;}";"100% Cotton 6-Piece Bath Towel Set, Gold";"";"";"";"";"";"";"";"";"";"Y";"N";"N";"prego-marinara-italian-sauce-23-oz-clone";"";"A";"0";"CS-Cart";"";"";"";"N";"";"https://is2or.com/retail/prego-marinara-italian-sauce-23-oz-clone/";"https://is2or.com/images/thumbnails/570/570/detailed/9/home-design_kn29-17.jpg.webp";"https://is2or.com/images/detailed/9/home-design_kn29-17.jpg.webp";"https://is2or.com/images/detailed/9/home-design_kn29-17.jpg.webp";"min:0;max:0";"length:0;width:0;height:0";"0";"";"in stock";"";"";"";"";"";"";"";"";"";"";"N";"";"";"D";"";"0.000";"0.000"
"";"en";"302";"Retail";"0.00";"6.80";"0.000";"1";"";"0.00";"29 Jan 2025 05:55:41";"N";"";"N";"";"N";"";"";"exim/backup/images/home-design_3gkl-pg.jpg.webp#{[ar]:;[en]:;}";"1001NOW GT0517 Corner Steam Shower Enclosure with Lights, Fan, Radio plus more";"";"";"";"";"";"";"";"";"";"Y";"N";"N";"100-cotton-6-piece-bath-towel-set-gold-clone";"";"A";"0";"CS-Cart";"";"";"";"N";"";"https://is2or.com/retail/100-cotton-6-piece-bath-towel-set-gold-clone/";"https://is2or.com/images/thumbnails/570/570/detailed/9/home-design_3gkl-pg.jpg.webp";"https://is2or.com/images/detailed/9/home-design_3gkl-pg.jpg.webp";"https://is2or.com/images/detailed/9/home-design_3gkl-pg.jpg.webp";"min:0;max:0";"length:0;width:0;height:0";"0";"";"in stock";"";"";"";"";"";"";"";"";"";"";"N";"";"";"D";"";"0.000";"0.000"
