CategoryCode;CategoryPath;Language
"528";"Supermarket///Retail///Care And Hygiene";"en"
"529";"Supermarket///Retail///Clothing";"en"
"531";"Supermarket///Retail///Pet Products";"en"
"532";"Supermarket///Retail///Seasonal Products";"en"
"535";"Automotive///Car Parts///Engine Parts";"en"
"536";"Automotive///Car Parts///Brake Systems";"en"
"537";"Automotive///Car Parts///Transmission Parts";"en"
"538";"Automotive///Car Parts///Electrical Parts";"en"
"539";"Automotive///Car Parts///Filters & Fluids";"en"
"540";"Automotive///Car Parts///Body Parts";"en"
"541";"Automotive///Auto Accessories///Care Products";"en"
"542";"Automotive///Auto Accessories///Tools & Equipment";"en"
"543";"Automotive///Auto Accessories///Car Electronics";"en"
"544";"Automotive///Auto Accessories///Interior Accessories";"en"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en"
"546";"Automotive///Auto Accessories///Maintenance Items";"en"
"549";"Fresh & Local///Fruits from farms///Fruites";"en"
