Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor
"395802_EA";"en";"1682";"Supermarket///Retail///Bakery";"1.00";"1.95";"45.000";"10";"";"0.00";"03 May 2025 01:11:51";"N";"";"N";"";"N";"";"";"exim/backup/images/3958021-20240725-054337.webp#{[ar]:;[en]:;}";" Artisanal Multigrain Sourdough Mini-45G";"";"";"";"";"";"";"";"";"";"N";"N";"N";"artisanal-multigrain-sourdough-mini-45g";"";"A";"9";"Tamimi Markets"
"238401_EA";"en";"2878";"Supermarket///Retail///Bakery";"4.05";"4.05";"280.000";"10";"";"0.00";"03 May 2025 02:06:07";"N";"";"N";"";"N";"";"";"exim/backup/images/238401_1-20201101-003358.png#{[ar]:;[en]:;}";" Baguette White 58Cm-280G";"";"";"";"";"";"";"";"";"";"N";"N";"N";"baguette-white-58cm-280g";"Baguette White 58Cm";"A";"9";"Tamimi Markets"
