CategoryCode;CategoryPath;Language;CategoryId
"77";"Kids & Baby///Educational Materials";"en";"728"
"78";"Tools & Industrial///Power Tools";"en";"729"
"79";"Tools & Industrial///Hand Tools";"en";"730"
"80";"Tools & Industrial///Construction Equipment";"en";"731"
"81";"Tools & Industrial///Workshop Equipment";"en";"732"
"82";"Tools & Industrial///Garden Tools";"en";"733"
"83";"Tools & Industrial///Industrial Machinery";"en";"734"
"84";"Tools & Industrial///Safety Equipment";"en";"735"
"85";"Tools & Industrial///Testing Equipment";"en";"736"
"86";"Collectibles & Art///Antiques";"en";"737"
"87";"Collectibles & Art///Art Pieces";"en";"738"
"88";"Collectibles & Art///Stamps";"en";"739"
"89";"Collectibles & Art///Coins";"en";"740"
"90";"Collectibles & Art///Trading Cards";"en";"741"
"91";"Collectibles & Art///Memorabilia";"en";"742"
"92";"Collectibles & Art///Vintage Items";"en";"743"
"93";"Collectibles & Art///Limited Edition Items";"en";"744"
"745";"Office Supplies///Paper & Stationery";"en";"745"
"746";"Office Supplies///Printers & Accessories";"en";"746"
"747";"Office Supplies///Office Furniture";"en";"747"
"748";"Office Supplies///Ink & Toner";"en";"748"
"749";"Office Supplies///Pantry & Breakroom Items";"en";"749"
"750";"Office Supplies///Cleaning Products";"en";"750"
"751";"Building Materials & Tools///Cement";"en";"751"
"752";"Building Materials & Tools///Bricks & Blocks";"en";"752"
"753";"Building Materials & Tools///Steel & Metal";"en";"753"
"754";"Building Materials & Tools///Paint & Adhesives";"en";"754"
"755";"Building Materials & Tools///Plumbing Supplies";"en";"755"
"756";"Building Materials & Tools///Doors & Windows";"en";"756"
"757";"Building Materials & Tools///Tools & Hardware";"en";"757"
"758";"Electrical & Lighting///Wires & Cables";"en";"758"
"759";"Electrical & Lighting///Switches & Plugs";"en";"759"
"760";"Electrical & Lighting///Indoor & Outdoor Lights";"en";"760"
"761";"Electrical & Lighting///Batteries & Chargers";"en";"761"
"762";"Electrical & Lighting///Fans & Ventilation";"en";"762"
"763";"Packaging & Shipping///Boxes & Cartons";"en";"763"
