CategoryCode;CategoryPath;Language
"414";"Heath & Beauty";"en"
"";"";""
"417";"Supermarket";"en"
"";"Fresh & Local";"ar"
"418";"Automotive";"en"
"";"Fashion & Jewelry";"ar"
"413";"Sports & Hobbies";"en"
"";"";""
"411";"Electronics & Digital Products";"en"
"";"Sports & Hobbies";"ar"
"416";"Fresh & Local";"en"
"";"Supermarket";"ar"
"415";"Home & Gradening";"en"
"";"رسوم السوق";"ar"
"";"";""
"415";"Home & Gradening";"ar"
"";"";""
"411";"Electronics";"ar"
"268";"Uncategorized";"en"
"";"غير مصنف";"ar"
"";"";""
"514";"Supermarket///Wholesale & Bulk";"ar"
"504";"Fresh & Local///Homemade Meals";"en"
"";"Supermarket///Retail";"ar"
"514";"Supermarket///Wholesale & Bulk";"en"
"";"Electronics///Digital Products";"ar"
"419";"Electronics & Digital Products///Digital Products";"en"
"";"Heath & Beauty ///Health";"ar"
"474";"Heath & Beauty///Health";"en"
"";"Heath & Beauty ///Beauty";"ar"
"485";"Home & Gradening///Gardenin";"en"
"";"Home & Gradening///Gardenin";"ar"
"";"";""
"534";"Automotive///Auto Accessories";"ar"
"534";"Automotive///Auto Accessories";"en"
"";"";""
"441";"Fashion & Jewelry///Kids";"en"
"";"";""
"";"";""
"506";"Fresh & Local///Nuts & Spices";"ar"
"459";"Sports & Hobbies///Toys";"en"
"";"Electronics///Gaming";"ar"
"";"";""
"459";"Sports & Hobbies///Toys";"ar"
"515";"Supermarket///Retail";"en"
"";"Supermarket///Retail";"ar"
"";"";""
"420";"Electronics///Electronics";"ar"
"440";"Fashion & Jewelry///Woman";"en"
"";"";""
"506";"Fresh & Local///Nuts & Spices";"en"
"";"";""
"505";"Fresh & Local///Fruits from farms";"en"
"";"";""
"474";"Heath & Beauty///Health";"en"
"";"Heath & Beauty ///Health";"ar"
"475";"Heath & Beauty///Beauty";"en"
"";"Heath & Beauty ///Beauty";"ar"
"514";"Supermarket///Wholesale & Bulk";"en"
"";"Fresh & Local///Fruits from farms";"ar"
"483";"Heath & Beauty///Beauty///Medical Supplies";"en"
"";"Heath & Beauty ///Beauty///Personal Grooming";"ar"
"468";"Sports & Hobbies///Sports///Fishing";"en"
"";"Sports & Hobbies///Sports///Fishing";"ar"
"481";"Heath & Beauty///Beauty///Personal Grooming";"en"
"";"Supermarket///Wholesale & Bulk///Cleaning Products";"ar"
"";"";""
"502";"Home & Gradening///Gardenin///Bathroom Equipment";"ar"
"470";"Sports & Hobbies///Toys///Plushies";"en"
"";"Supermarket///Retail///Breakfast & Snacks";"ar"
"549";"Fresh & Local///Fruits from farms///Fruites";"en"
"";"Sports & Hobbies///Toys///Learning Sets";"ar"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en"
"";"Supermarket///Retail///Cheese & Cold Cuts";"ar"
"471";"Sports & Hobbies///Toys///Learning Sets";"en"
"";"Sports & Hobbies///Toys///Remote Control Toys";"ar"
"480";"Heath & Beauty///Beauty///Hair Care";"en"
"";"Home & Gradening///Home///Cleaning Products";"ar"
"547";"Electronics & Digital Products///Digital Products///E-Learning";"en"
"";"Electronics///Digital Products///E-Learning";"ar"
"487";"Home & Gradening///Home///Tools";"en"
"";"Home & Gradening///Home///Tools";"ar"
"";"";""
"483";"Heath & Beauty ///Beauty///Medical Supplies";"ar"
"488";"Home & Gradening///Home///Furnitures";"en"
"";"Supermarket///Wholesale & Bulk///Beverages";"ar"
"489";"Home & Gradening///Home///Lighting";"en"
"";"Home & Gradening///Home///Lighting";"ar"
"518";"Supermarket///Wholesale & Bulk///Cleaning Products";"en"
"";"Heath & Beauty ///Beauty///Hair Care";"ar"
"452";"Fashion & Jewelry///Kids///Clothes";"en"
"";"Fashion & Jewelry///Kids///Shoes";"ar"
"453";"Fashion & Jewelry///Kids///Shoes";"en"
"";"Fashion & Jewelry///Jewllery///Diamond";"ar"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en"
