language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
ar,DAN-49407,شريط لاصق شفاف ٦ قطع ١٠٠ متر,Supermarket///Retail///Packaged Products,,شريط لاصق شفاف ٦ قطع ١٠٠ متر,Packing Tape 6 Pieces Clear 100m PT48100C/6,52.0,52.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/841/product/42266890.jpg
en,DAN-17844,Leroy Salmon Fillet 4x140g,Supermarket///Retail///Cheese & Cold Cuts,Leroy,Leroy Salmon Fillet 4x140g,Leroy Salmon Fillet 4x140g,89.0,89.0 SAR,piece,0.56,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/021/345/product/703335225151.jpg
ar,DAN-17844,ليروي سالمون فيليه ٤*١٤٠غرام,Supermarket///Retail///Cheese & Cold Cuts,ليروي,ليروي سالمون فيليه ٤*١٤٠غرام,Leroy Salmon Fillet 4x140g,89.0,89.0 SAR,piece,0.56,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/021/345/product/703335225151.jpg
en,DAN-33671,Arrowhead Beef Bacon Slices 340g,Supermarket///Retail///Cheese & Cold Cuts,Arrowhead,Arrowhead Beef Bacon Slices 340g,Arrowhead Beef Bacon Slices 340g,41.5,41.5 SAR,piece,0.33,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/096/862/product/629110336279.jpg
ar,DAN-33671,آروهيد شرائح لحم بقري بيكن ٣٤٠غرام,Supermarket///Retail///Cheese & Cold Cuts,آروهيد,آروهيد شرائح لحم بقري بيكن ٣٤٠غرام,Arrowhead Beef Bacon Slices 340g,41.5,41.5 SAR,piece,0.33,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/096/862/product/629110336279.jpg
en,DAN-35269,Miratorg Frozen Vegetables Italian Mix 400g,Supermarket///Retail///Fruits & Vegetables,Miratorg,Miratorg Frozen Vegetables Italian Mix 400g,Miratorg Frozen Vegetables Italian Mix 400g,12.5,12.5 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/131/product/461008595303.png
ar,DAN-35269,ميراتورج خضار مجمدة إيطالية ٤٠٠غرام,Supermarket///Retail///Fruits & Vegetables,ميراتورج,ميراتورج خضار مجمدة إيطالية ٤٠٠غرام,Miratorg Frozen Vegetables Italian Mix 400g,12.5,12.5 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/131/product/461008595303.png
en,DAN-35270,Miratorg Frozen Vegetables Spanish Mix with Riviera Sauce 400g,Supermarket///Retail///Fruits & Vegetables,Miratorg,Miratorg Frozen Vegetables Spanish Mix with Riviera Sauce 400g,Miratorg Frozen Vegetables Spanish Mix with Riviera Sauce 400g,14.25,14.25 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/132/product/461008595301.png
ar,DAN-35270,ميراتورج خضار مجمدة اسبانية مع صوص الريفييرا ٤٠٠غرام,Supermarket///Retail///Fruits & Vegetables,ميراتورج,ميراتورج خضار مجمدة اسبانية مع صوص الريفييرا ٤٠٠غرام,Miratorg Frozen Vegetables Spanish Mix with Riviera Sauce 400g,14.25,14.25 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/132/product/461008595301.png
en,DAN-35268,Miratorg Frozen Vegetables Mexican Mix 400g,Supermarket///Retail///Fruits & Vegetables,Miratorg,Miratorg Frozen Vegetables Mexican Mix 400g,Miratorg Frozen Vegetables Mexican Mix 400g,10.95,10.95 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/130/product/461008595302.png
