language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,17645-77,Holsten Malt Beverage Black Grape 330 ML × 6,Supermarket///Retail///Beverages,,,Holsten Malt Beverage Black Grape,31.95,31.95,piece,,24,4.79,https://go.farm.com.sa/public/uploads/items/17645/thumbnail_1747159105.webp
en,17647-58,Barbican Malt Beverage Strawberry 250 ML × 6,Supermarket///Retail///Beverages,,,Barbican Malt Beverage Strawberry,14.5,14.5,piece,,66,2.18,https://go.farm.com.sa/public/uploads/items/17647/thumbnail_1747159105.webp
en,17648-58,Barbican Malt Beverage Apple 250 ML × 6,Supermarket///Retail///Beverages,,,Barbican Malt Beverage Apple,14.5,14.5,piece,,44,2.18,https://go.farm.com.sa/public/uploads/items/17648/thumbnail_1747159105.webp
en,18158-35,Klasse Malt Beverage Apple 330 ML,Supermarket///Retail///Beverages,,,Klasse Malt Beverage Apple,4.5,4.5,piece,,44,0.68,https://go.farm.com.sa/public/uploads/items/18158/thumbnail_1747159442.webp
en,18909-1870,Vimto Drink Blue Raspberry Flavor 250 ML × 6,Supermarket///Retail///Beverages,,,Vimto Drink Blue Raspberry Flavor,12.95,12.95,piece,,13,1.94,https://go.farm.com.sa/public/uploads/items/18909/thumbnail_1747159000.webp
en,18911-63,ORIGINAL DRINK ORANGE&CARROTS 1.4 L,Supermarket///Retail///Beverages,,,ORIGINAL DRINK ORANGE&CARROTS,10.5,10.5,piece,,27,1.58,https://go.farm.com.sa/public/uploads/items/18911/thumbnail_1747159000.webp
en,18917-1165,Mirinda Soft Drink Orange Glass Bottle 250 ML × 24,Supermarket///Retail///Beverages,,,Mirinda Soft Drink Orange Glass Bottle,59.95,59.95,piece,,11,8.99,https://go.farm.com.sa/public/uploads/items/18917/thumbnail_1747159000.webp
en,18918-1172,7UP Soft Drink Free 355 ML × 24,Supermarket///Retail///Beverages,,,7UP Soft Drink Free,63.95,63.95,piece,,36,9.59,https://go.farm.com.sa/public/uploads/items/18918/thumbnail_1747159000.webp
en,18942-37,VICTORIA  LEMON JUICE 1 L,Supermarket///Retail///Beverages,,,VICTORIA  LEMON JUICE,23.95,23.95,piece,,9,3.59,https://go.farm.com.sa/public/uploads/items/18942/thumbnail_1747159000.webp
en,19299-1168,Mirinda Orange Soft Drink 150 ML × 12,Supermarket///Retail///Beverages,,,Mirinda Orange Soft Drink,23.5,23.5,piece,,999,3.53,https://go.farm.com.sa/public/uploads/items/19299/thumbnail_1747159000.webp
en,19476-1177,Sprite Soft Drink 320 ML × 6,Supermarket///Retail///Beverages,,,Sprite Soft Drink,14.95,14.95,piece,,22,2.24,https://go.farm.com.sa/public/uploads/items/19476/thumbnail_1747159000.webp
en,19478-1177,Fanta Soft Drink Citrus 320 ML × 6,Supermarket///Retail///Beverages,,,Fanta Soft Drink Citrus,14.95,14.95,piece,,5,2.24,https://go.farm.com.sa/public/uploads/items/19478/thumbnail_1747159000.webp
en,19479-1177,Fanta Soft Drink Orange 320 ML × 6,Supermarket///Retail///Beverages,,,Fanta Soft Drink Orange,14.95,14.95,piece,,40,2.24,https://go.farm.com.sa/public/uploads/items/19479/thumbnail_1747159000.webp
en,19481-1177,FANTA SOFT DRINK CAN STRAWBERRY 320 ML × 6,Supermarket///Retail///Beverages,,,FANTA SOFT DRINK CAN STRAWBERRY,14.95,14.95,piece,,67,2.24,https://go.farm.com.sa/public/uploads/items/19481/thumbnail_1747159000.webp
en,19558-37,Thai Coco Organic Coconut Water 1 L,Supermarket///Retail///Beverages,,,Thai Coco Organic Coconut Water,9.95,9.95,piece,,799,1.49,https://go.farm.com.sa/public/uploads/items/19558/thumbnail_1747159000.webp
en,19633-36,7UP Soft Drink 2.2 L,Supermarket///Retail///Beverages,,,7UP Soft Drink,7.75,7.75,piece,,3407,1.16,https://go.farm.com.sa/public/uploads/items/19633/thumbnail_1747159000.webp
en,19635-36,Mirinda Soft Drink Orange 2.2 L,Supermarket///Retail///Beverages,,,Mirinda Soft Drink Orange,7.75,7.75,piece,,424,1.16,https://go.farm.com.sa/public/uploads/items/19635/thumbnail_1747159000.webp
en,19664-63,Almarai Juice Apple 1.4 L,Supermarket///Retail///Beverages,,,Almarai Juice Apple,7.5,7.5,piece,,59,1.13,https://go.farm.com.sa/public/uploads/items/19664/thumbnail_1747159000.webp
en,19669-63,Almarai Juice Mixed Berry 1.4 L,Supermarket///Retail///Beverages,,,Almarai Juice Mixed Berry,7.5,7.5,piece,,44,1.13,https://go.farm.com.sa/public/uploads/items/19669/thumbnail_1747159000.webp
en,19734-63,Almarai Juice Mixed Fruit 1.4 L,Supermarket///Retail///Beverages,,,Almarai Juice Mixed Fruit,7.5,7.5,piece,,49,1.13,https://go.farm.com.sa/public/uploads/items/19734/thumbnail_1747159000.webp
